"filename", "language", "JavaScript", "JSON", "HTML", "comment", "blank", "total"
"d:\downloopy\data\qnl.imgs.js", "JavaScript", 547, 0, 0, 0, 32, 579
"d:\downloopy\data\slideshare.imgs.js", "JavaScript", 5, 0, 0, 0, 0, 5
"d:\downloopy\download.app.js", "JavaScript", 56, 0, 0, 13, 22, 91
"d:\downloopy\download.test.js", "JavaScript", 21, 0, 0, 0, 0, 21
"d:\downloopy\index.html", "HTML", 0, 0, 14, 0, 2, 16
"d:\downloopy\old_apps\app-old-1.js", "JavaScript", 23, 0, 0, 45, 10, 78
"d:\downloopy\old_apps\app-old-2.js", "JavaScript", 229, 0, 0, 1, 28, 258
"d:\downloopy\old_apps\app-old-3.js", "JavaScript", 229, 0, 0, 1, 28, 258
"d:\downloopy\old_apps\pages.js", "JavaScript", 101, 0, 0, 0, 9, 110
"d:\downloopy\old_apps\test.js", "JavaScript", 536, 0, 0, 10, 43, 589
"d:\downloopy\package-lock.json", "JSON", 0, 1518, 0, 0, 1, 1519
"d:\downloopy\package.json", "JSON", 0, 23, 0, 0, 1, 24
"d:\downloopy\pdfing.app.js", "JavaScript", 40, 0, 0, 4, 13, 57
"d:\downloopy\pdfing.test.js", "JavaScript", 6, 0, 0, 0, 0, 6
"d:\downloopy\tests\Qnl.book.pages.imgs.js", "JavaScript", 636, 0, 0, 25, 61, 722
"d:\downloopy\tests\Slideshare.slide.imgs.js", "JavaScript", 40, 0, 0, 5, 14, 59
"d:\downloopy\tests\archive.alsharekh.pages.imges.js", "JavaScript", 56, 0, 0, 13, 23, 92
"Total", "-", 2525, 1541, 14, 117, 287, 4484